Invoice ID,Timestamp,Items Summary,Subtotal (GBP),VAT 20% (GBP),Total Due (GBP),Net Margin Profit (GBP),Payment Method,Salesperson
"SP-801942","2026-08-13T16:33:21.942Z","Savile Row Bespoke Tuxedo - Midnight Blue / 38R (Qty:1, Size:38R)",699.00,139.80,838.80,449.00,"Cash","Rumel Ahmed","","","","none"
"SP-899764","2026-08-13T16:34:59.765Z","Chelsea Wool Tweed Blazer - Charcoal Grey / 42R (Qty:1, Size:42R) | Belt, Shirt (Qty:1, Size:N/A)",399.00,79.80,478.80,259.00,"Cash","Rumel Ahmed","","","","none"
"SP-088691","2026-08-13T16:38:08.691Z","Savile Row Bespoke Tuxedo - Midnight Blue / 38R (Qty:1, Size:38R)",699.00,139.80,838.80,449.00,"Cash","Rumel Ahmed","Rumel Ahmed","+8801755140566","rajrum3l@gmail.com","whatsapp"
"SP-407060","2026-08-15T10:06:47.060Z","Chelsea Wool Tweed Blazer - Forest Green / 42R (Qty:1, Size:42R)",385.00,77.00,462.00,240.00,"Cash","Rumel Ahmed","","","","none"
"SP-458161","2026-08-15T10:07:38.161Z","gh (Qty:1, Size:N/A)",10.00,2.00,12.00,10.00,"Cash","Rumel Ahmed","","","","none"
"SP-811847","2026-08-15T10:13:31.856Z","Chelsea Wool Tweed Blazer - Charcoal Grey / 40R (Qty:1, Size:40R)",380.00,76.00,456.00,240.00,"Cash","Rumel Ahmed","","","","none"
"SP-222825","2026-08-15T10:20:22.825Z","Savile Row Bespoke Tuxedo - Midnight Blue / 38R (Qty:1, Size:38R)",699.00,0.00,699.00,449.00,"Cash","Rumel Ahmed","","","","none"
"SP-906401","2026-08-15T10:31:46.401Z","Chelsea Wool Tweed Blazer - Charcoal Grey / 42R (Qty:1, Size:42R)",380.00,0.00,380.00,240.00,"Cash","Rumel Ahmed","","","","none"
"SP-145280","2026-08-15T10:35:45.280Z","jkkkkkkkkk (Qty:1, Size:N/A)",199999.00,0.00,199999.00,199999.00,"Cash","Rumel Ahmed","","","","none"
"SP-591273","2026-08-15T10:43:11.273Z","Chelsea Wool Tweed Blazer - Charcoal Grey / 42R (Qty:1, Size:42R)",380.00,0.00,380.00,240.00,"Cash","Rumel Ahmed","Rumel Ahmed","+8801755140566","rajrum3l@gmail.com","whatsapp"
"SP-006207","2026-08-15T10:50:06.207Z","yu (Qty:1, Size:N/A)",23.00,0.00,23.00,23.00,"Cash","Rumel Ahmed","","","","none"
"SP-169399","2026-08-15T10:52:49.399Z","yyyyyyyyyyt (Qty:1, Size:N/A)",200.00,0.00,200.00,200.00,"Cash","Rumel Ahmed","","","","none"
"SP-211276","2026-08-15T10:53:31.276Z","fty (Qty:1, Size:N/A)",20.00,0.00,20.00,20.00,"Cash","Rumel Ahmed","","","","none"
"SP-233270","2026-08-15T10:53:53.270Z","54t64 (Qty:1, Size:N/A)",1000.00,0.00,1000.00,1000.00,"Cash","Rumel Ahmed","","","","none"
"SP-472933","2026-08-15T10:57:52.933Z","3333333 (Qty:1, Size:N/A)",56.00,0.00,56.00,56.00,"Split (Cash: £2.00 + Cash: £54.00)","Rumel Ahmed","","","","none"
"SP-615217","2026-08-15T11:00:15.217Z","gfffff (Qty:1, Size:N/A)",20.00,0.00,20.00,20.00,"Cash","Rumel Ahmed","","","","none"
"SP-777586","2026-08-15T11:02:57.586Z","45555 (Qty:1, Size:N/A)",30.00,5.00,30.00,30.00,"Cash","Rumel Ahmed","","","","none"
"SP-801685","2026-08-15T11:03:21.685Z","tytytytytyty (Qty:1, Size:N/A)",60.00,13.85,60.00,60.00,"Cash","Rumel Ahmed","","","","none"
"SP-120561","2026-08-15T11:08:40.561Z","ewwww (Qty:1, Size:N/A)",3333333333.00,2323232323.00,3333333333.00,3333333333.00,"Cash","Rumel Ahmed","","","","none"
"SP-172160","2026-08-15T11:09:32.160Z","ad (Qty:1, Size:N/A)",244444444.00,56410256.31,244444444.00,244444444.00,"Cash","Rumel Ahmed","","","","none"
"SP-511087","2026-08-15T11:15:11.087Z","hjjjjj (Qty:1, Size:N/A)",345.00,69.00,345.00,345.00,"Cash","Rumel Ahmed","","","","none"
